basDt,srtnCd,isinCd,crno,mrktCtg,itmsNm,corpNm
20260827,A005810,KR7005810007,1201110018110,KOSPI,풍산홀딩스,(주)풍산홀딩스
20260827,A005820,KR7005820006,1101110095152,KOSPI,원림,(주)원림
20260827,A005830,KR7005830005,1101110095285,KOSPI,DB손해보험,DB손해보험(주)
20260827,A005850,KR7005850003,1701110000034,KOSPI,에스엘,에스엘(주)
20260827,A005860,KR7005860002,1345110004008,KOSDAQ,한일사료,한일사료(주)
20260827,A005870,KR7005870001,1341110005202,KOSPI,휴니드,(주)휴니드테크놀러지스
20260827,A005880,KR7005880000,1101110008212,KOSPI,대한해운,대한해운(주)
20260827,A005930,KR7005930003,1301110006246,KOSPI,삼성전자,삼성전자(주)
20260827,A005940,KR7005940002,1101110098130,KOSPI,NH투자증권,엔에이치투자증권(주)
20260827,A005950,KR7005950001,1101110008600,KOSPI,이수화학,(주)이수화학
20260827,A005960,KR7005960000,1101110005002,KOSPI,동부건설,동부건설(주)
20260827,A005990,KR7005990007,1101110099609,KOSDAQ,매일홀딩스,매일홀딩스(주)
20260827,A006040,KR7006040000,1101110003098,KOSPI,동원산업,동원산업(주)
20260827,A006050,KR7006050009,1101110103707,KOSDAQ,국영지앤엠,(주)국영지앤엠
20260827,A006060,KR7006060008,1801110004323,KOSPI,화승인더,화승인더스트리(주)
20260827,A006090,KR7006090005,1101110104820,KOSPI,사조오양,(주)사조오양
20260827,A006110,KR7006110001,1341110002365,KOSPI,삼아알미늄,삼아알미늄(주)
20260827,A006120,KR7006120000,1301110005727,KOSPI,SK디스커버리,에스케이디스커버리(주)
20260827,A006140,KR7006140008,1101110053465,KOSDAQ,피제이전자,(주)피제이전자
20260827,A006200,KR7006200000,1101110101470,KOSPI,한국전자홀딩스,(주)한국전자홀딩스
20260827,A006220,KR7006220008,2201110000819,KOSPI,제주은행,(주)제주은행
20260827,A006260,KR7006260004,1101110003965,KOSPI,LS,(주)LS
20260827,A006280,KR7006280002,1101110109854,KOSPI,녹십자,(주)녹십자
20260827,A006340,KR7006340004,1348110001181,KOSPI,대원전선,대원전선(주)
20260827,A006360,KR7006360002,1101110002694,KOSPI,GS건설,지에스건설(주)
20260827,A006370,KR7006370001,1701110003814,KOSPI,대구백화점,(주)대구백화점
20260827,A006380,KR7006380000,1101110111825,KOSPI,카프로,(주)카프로
20260827,A006400,KR7006400006,1101110394174,KOSPI,삼성SDI,삼성SDI(주)
20260827,A006490,KR7006490007,1101110018592,KOSPI,프리티,(주)프리티
20260827,A006570,KR7006570006,1101110021678,KOSPI,대림통상,대림통상(주)
20260827,A006620,KR7006620009,1101110352156,KOSDAQ,동구바이오제약,(주)동구바이오제약
20260827,A006650,KR7006650006,1101110024698,KOSPI,대한유화,대한유화(주)
20260827,A006660,KR7006660005,1942110000034,KOSPI,삼성공조,삼성공조(주)
20260827,A006730,KR7006730006,1101110256788,KOSDAQ,서부T&D,(주)서부티엔디
20260827,A006740,KR7006740005,1347110000408,KOSPI,블루산업개발,블루산업개발 주식회사
20260827,A006800,KR7006800007,1101110011679,KOSPI,미래에셋증권,미래에셋증권(주)
20260827,A006840,KR7006840003,1101110029721,KOSPI,AK홀딩스,AK홀딩스(주)
20260827,A006880,KR7006880009,1101110038061,KOSPI,신송홀딩스,신송홀딩스(주)
20260827,A006890,KR7006890008,1101110040793,KOSPI,태경케미컬,태경케미컬 주식회사
